person_id,entry_time_sec,exit_time_sec,waiting_time_sec,processing_time_sec,total_journey_sec,queue1_entries,queue2_entries,timeline,first_seen_ts,exit_ts
1,0.04,10.84,0.0,21.0,10.8,0,3,"[('first_seen', 0.04), ('Queue2_enter', 0.04), ('Queue2_exit', 10.84), ('final_exit', 10.84), ('Queue2_enter', 10.88), ('Queue2_exit', 20.96), ('Queue2_enter', 21.0), ('Queue2_exit', 21.12)]",2025-09-16 16:33:25,2025-09-16 16:34:34
2,0.04,10.04,0.0,0.0,10.0,0,0,"[('first_seen', 0.04), ('final_exit', 10.04)]",2025-09-16 16:33:25,2025-09-16 16:34:29
3,0.04,10.6,0.0,0.0,10.56,0,0,"[('first_seen', 0.04), ('final_exit', 10.6)]",2025-09-16 16:33:25,2025-09-16 16:34:33
4,5.04,5.76,0.0,0.0,0.72,0,0,"[('first_seen', 5.04), ('final_exit', 5.76)]",2025-09-16 16:33:58,2025-09-16 16:34:03
6,5.84,16.92,0.52,9.72,11.08,1,1,"[('first_seen', 5.84), ('Queue1_enter', 5.84), ('Queue1_exit', 6.36), ('Queue2_enter', 6.72), ('Queue2_exit', 16.44), ('final_exit', 16.92)]",2025-09-16 16:34:03,2025-09-16 16:35:14
7,9.28,17.36,0.4,7.56,8.08,1,2,"[('first_seen', 9.28), ('Queue1_enter', 9.28), ('Queue1_exit', 9.68), ('Queue2_enter', 10.6), ('Queue2_exit', 17.36), ('final_exit', 17.36), ('Queue2_enter', 17.4), ('Queue2_exit', 18.2)]",2025-09-16 16:34:25,2025-09-16 16:35:17
8,11.6,20.68,0.16,7.68,9.08,1,1,"[('first_seen', 11.6), ('Queue1_enter', 11.6), ('Queue1_exit', 11.76), ('Queue2_enter', 12.32), ('Queue2_exit', 20.0), ('final_exit', 20.68)]",2025-09-16 16:34:39,2025-09-16 16:35:38
9,13.88,14.36,0.0,0.0,0.48,0,0,"[('first_seen', 13.88), ('final_exit', 14.36)]",2025-09-16 16:34:55,2025-09-16 16:34:58
10,14.48,22.92,0.6,7.64,8.44,1,1,"[('first_seen', 14.48), ('Queue1_enter', 14.48), ('Queue1_exit', 15.08), ('Queue2_enter', 15.28), ('Queue2_exit_end', 22.92), ('final_exit_end', 22.92)]",2025-09-16 16:34:59,2025-09-16 16:35:52
11,15.92,22.4,0.4,5.48,6.48,1,1,"[('first_seen', 15.92), ('Queue1_enter', 15.92), ('Queue1_exit', 16.32), ('Queue2_enter', 16.92), ('Queue2_exit', 22.4), ('final_exit', 22.4)]",2025-09-16 16:35:08,2025-09-16 16:35:49
12,19.08,19.48,0.0,0.0,0.4,0,0,"[('first_seen', 19.08), ('final_exit', 19.48)]",2025-09-16 16:35:28,2025-09-16 16:35:30
14,21.08,21.36,0.0,0.0,0.28,0,0,"[('first_seen', 21.08), ('final_exit', 21.36)]",2025-09-16 16:35:40,2025-09-16 16:35:42
15,22.44,22.92,0.0,0.48,0.48,0,1,"[('first_seen', 22.44), ('Queue2_enter', 22.44), ('Queue2_exit_end', 22.92), ('final_exit_end', 22.92)]",2025-09-16 16:35:49,2025-09-16 16:35:52
